RefDes,Qty,Value(from .cir/.param/.model),Rating,Tolerance,Power,Package,Manufacturer,PartNumber,Notes
U1,1,uPC1237,Vcc 25..60 В,-,Pd 320 мВт (Ta=75 C),DIP-8 / SIP-8,NEC / Renesas,UPC1237HA,макромодель проверена в ngspice; пороги из doc IC-1806A
U2,1,VOM1271T,"IF<=50 мА, 3750 VRMS",-,-,SOP-4,Vishay,VOM1271T,"VOC 7.8/8.4 В, ISC 15 мкА, встроенный разряд 140 кОм"
"Q1,Q2",2,60 В N-MOSFET,"60 В / 20 А, Rds(on)<=1.9 мОм @Vgs=7 В",-,Pd 167 Вт,PG-TDSON-8,Infineon,IAUC120N06S5N015,"MAIN; измерено 2.8 мОм/прибор (27 C), 3.1 мОм (100 C)"
M_BKP,2,60 В N-MOSFET (резерв),"60 В, Rds(on)<=2.6 мОм @Vgs=4.5 В",-,Pd 375 Вт,TO-263,Vishay,SUM50020EL,резерв; Ciss 11.1 нФ => при пассивном разряде t_off 3.5 мс
R8,1,15k,Vcc dropper,5%,0.5 Вт,0805/MELF,-,-,от VCC45 к выводу 8 uPC1237
D8,1,BV=1,стабилитрон V8,2%,0.5 Вт,SOD-123,-,BZX84C3V6,опорное 3.4 В (вывод 8); модель DZ8
R4,1,24k,сетевой AC-вход,1%,0.25 Вт,1206,-,-,AC-OFF (вывод 4); при питании от сети >=300 В изоляция
C4,1,2.2u,AC-детекция,20%,-,X7R 50 В,-,-,с RINT4 (внутр. IC) => отключение 71 мс (TC6)
R7,1,220k,T_ON,1%,0.25 Вт,0805,-,-,T_ON=0.931*R7*C7; измерено 4.36 с (TC1)
C7,1,22u,T_ON,20%,-,электролит 16 В,-,-,задержка включения (ic=0 в модели)
"RA1,RB1",2,110k,DC-детекция,1%,0.25 Вт,0805,-,-,"делитель вывода 2, порог ~2 В на выходе УМ"
RC1,1,91k,DC-детекция,1%,0.25 Вт,0805,-,-,"формулы (1)-(3) даташита, SPEC R7"
C2,1,4.7u,DC-фильтр,20%,-,плёнка 16 В,-,-,"T_DC: 176 мс (+3 В) / 33 мс (-3 В), TC3/TC4"
C3,1,0.022u,latch,10%,-,X7R 50 В,-,-,вывод 3; latch-режим (R8)
RLEAK,1,1G,режим latch,5%,0.25 Вт,0805,-,-,1 ГОм = latch; 10 кОм = auto-reset (TC7b)
RLED,1,820,IF=10..15 мА,1%,0.25 Вт,0805,-,-,ветвь VHLOG -> RLED -> LED(U2) -> LED(OPT1) -> PIN6; IF=9.8 мА (TC1)
"RG1,RG2",2,100,затвор,5%,0.125 Вт,0603,-,-,последовательно в затвор каждого MOSFET
"RGS1,RGS2",2,10Meg,стягивание затвор-исток,5%,0.125 Вт,0603,-,-,Vgs=8.36 В (TC1); 1 МОм просаживал Vgs до 7.3 В
"CGS1,CGS2",2,47n,затвор-исток,10%,-,X7R 25 В / 0603,-,-,подавление drain-induced turn-on (наводка через Cgd при фронте стока 50 В); цена — включение ~26 мс
"DTVS1,DTVS2",2,DTVS,ограничитель выброса (OPT2),5%,1 Вт,DO-41 / SMB,-,"1.5KE51A (TVS) — 1 шт. ДВУНАПРАВЛЕННЫЙ, либо 2 стабилитрона 51 В ОБЩИМ АНОДОМ","ОБЯЗАТЕЛЕН: АС индуктивна; без него на размыкании 3784 В (TC13a), с ним 54.7 В < 60 В (TC13a/TC17). Правила: Vclamp < 0.9*Vds(ключ); Vclamp > рельсы + 15%; ЭНЕРГИЯ >= 0.5 Дж (1 Вт стабилитрон НЕ годится); включение — встречно С ОБЩИМ АНОДОМ (иначе шунтирует ключ, TC18)"
OPT1,1,активный разряд затвора,активный разряд затвора (R11),-,-,SOT-23 + SOP-4,-,BSS84 + EL357 + 4.7 Ом,"в модели SDIS1/SDIS2 (Ron=5 Ом), управление током LED через развязку; t_off 0.8..1.8 мкс"
CPIN6,1,100p,фильтр вывода 6,10%,-,0603,-,-,ёмкость проводников/LED (в модели 100 пФ)
